race,outcome,term,estimate,std.error,statistic,p.value,lci,hci,or,or_lci,or_hci,reference,p,out
Latinx,ADRD,"Intermediate, e2+",-0.2,0.47,-0.44,0.6632662009858459,-1.12,0.72,0.82,0.32,2.05,FALSE,0.66327,"OR [95% CI] = 0.82 [0.32, 2.05], p = 0.66327"
Latinx,ADRD,"Intermediate, e4+",0.94,0.21,4.53,6.0247214151426475e-6,0.53,1.35,2.56,1.71,3.85,FALSE, 6.0e-06,"OR [95% CI] = 2.56 [1.71, 3.85], p =  6.0e-06"
Black,ADRD,"Unfavourable, e2+",-0.04,0.37,-0.12,0.9040947522281835,-0.77,0.68,0.96,0.47,1.97,FALSE,0.90409,"OR [95% CI] = 0.96 [0.47, 1.97], p = 0.90409"
Black,ADRD,"Unfavourable, e3/e3",0.23,0.2,1.14,0.25298525923169674,-0.16,0.62,1.26,0.85,1.86,FALSE,0.25299,"OR [95% CI] = 1.26 [0.85, 1.86], p = 0.25299"
Black,ADRD,"Unfavourable, e4+",1.35,0.17,7.77,8.04925163895719e-15,1.01,1.69,3.85,2.74,5.41,FALSE, 8.0e-15,"OR [95% CI] = 3.85 [2.74, 5.41], p =  8.0e-15"
Black,ADRD,"Favourable, e2+",-0.44,0.49,-0.89,0.3758386980334729,-1.4,0.53,0.65,0.25,1.7,FALSE,0.37584,"OR [95% CI] = 0.65 [0.25, 1.7], p = 0.37584"
Black,ADRD,"Favourable, e3/e3",-0.26,0.33,-0.77,0.4383679993612803,-0.91,0.4,0.77,0.4,1.49,FALSE,0.43837,"OR [95% CI] = 0.77 [0.4, 1.49], p = 0.43837"
Black,ADRD,"Favourable, e4+",0.72,0.25,2.87,0.004070511990765426,0.23,1.21,2.05,1.26,3.34,FALSE,0.00407,"OR [95% CI] = 2.05 [1.26, 3.34], p = 0.00407"
Black,ADRD,"Intermediate, e2+",-0.49,0.27,-1.79,0.07298783827031564,-1.02,0.05,0.61,0.36,1.05,FALSE,0.07299,"OR [95% CI] = 0.61 [0.36, 1.05], p = 0.07299"
Black,ADRD,"Intermediate, e4+",1.09,0.15,7.5,6.499480988546787e-14,0.81,1.38,2.98,2.24,3.96,FALSE, 6.5e-14,"OR [95% CI] = 2.98 [2.24, 3.96], p =  6.5e-14"
Asian,ADRD,"Unfavourable, e2+",0.03,0.88,0.04,0.968906937317993,-1.69,1.76,1.03,0.18,5.83,FALSE,0.96891,"OR [95% CI] = 1.03 [0.18, 5.83], p = 0.96891"
Asian,ADRD,"Unfavourable, e3/e3",0.34,0.37,0.92,0.3579694929485932,-0.39,1.08,1.41,0.68,2.94,FALSE,0.35797,"OR [95% CI] = 1.41 [0.68, 2.94], p = 0.35797"
Asian,ADRD,"Unfavourable, e4+",1.56,0.62,2.5,0.012453733700069537,0.34,2.78,4.75,1.4,16.12,FALSE,0.01245,"OR [95% CI] = 4.75 [1.4, 16.12], p = 0.01245"
Asian,ADRD,"Favourable, e2+",-15.78,664.63,-0.02,0.9810529603761886,-1318.45,1286.88,0,0,Inf,FALSE,0.98105,"OR [95% CI] = 0 [0, Inf], p = 0.98105"
Asian,ADRD,"Favourable, e3/e3",-1.03,0.38,-2.72,0.006437730531646934,-1.78,-0.29,0.36,0.17,0.75,FALSE,0.00644,"OR [95% CI] = 0.36 [0.17, 0.75], p = 0.00644"
Asian,ADRD,"Favourable, e4+",-0.06,0.43,-0.14,0.8849711604452564,-0.91,0.79,0.94,0.4,2.2,FALSE,0.88497,"OR [95% CI] = 0.94 [0.4, 2.2], p = 0.88497"
Asian,ADRD,"Intermediate, e2+",-0.3,0.4,-0.73,0.4642911659960301,-1.09,0.5,0.74,0.34,1.64,FALSE,0.46429,"OR [95% CI] = 0.74 [0.34, 1.64], p = 0.46429"
Asian,ADRD,"Intermediate, e4+",1.25,0.29,4.28,1.8544485027603032e-5,0.68,1.82,3.48,1.97,6.17,FALSE, 1.9e-05,"OR [95% CI] = 3.48 [1.97, 6.17], p =  1.9e-05"
NHW,AD + MCI,"Unfavourable, e2+",0.07,0.16,0.46,0.6468563859398173,-0.24,0.39,1.08,0.78,1.48,FALSE,0.64686,"OR [95% CI] = 1.08 [0.78, 1.48], p = 0.64686"
