race,outcome,term,estimate,std.error,statistic,p.value,lci,hci,or,or_lci,or_hci,reference,p,out
NHW,AD + MCI,"Favourable, e4+",0.75,0.07,10.7,1.0702211701294137e-26,0.61,0.89,2.12,1.85,2.43,FALSE,1.1e-26,"OR [95% CI] = 2.12 [1.85, 2.43], p = 1.1e-26"
NHW,AD + MCI,"Intermediate, e2+",-0.32,0.08,-4.01,5.9510841803216934e-5,-0.48,-0.16,0.73,0.62,0.85,FALSE,6.0e-05,"OR [95% CI] = 0.73 [0.62, 0.85], p = 6.0e-05"
NHW,AD + MCI,"Intermediate, e4+",1.09,0.04,24.8,9.88360642059047e-136,1,1.17,2.97,2.72,3.23,FALSE,< 1e-100,"OR [95% CI] = 2.97 [2.72, 3.23], p = < 1e-100"
Latinx,AD + MCI,"Unfavourable, e2+",0.15,0.68,0.22,0.8272643510004324,-1.19,1.48,1.16,0.31,4.41,FALSE,0.82726,"OR [95% CI] = 1.16 [0.31, 4.41], p = 0.82726"
Latinx,AD + MCI,"Unfavourable, e3/e3",0.61,0.2,2.99,0.0028126301707821263,0.21,1.01,1.84,1.23,2.74,FALSE,0.00281,"OR [95% CI] = 1.84 [1.23, 2.74], p = 0.00281"
Latinx,AD + MCI,"Unfavourable, e4+",1.19,0.25,4.8,1.5718065785594835e-6,0.7,1.67,3.28,2.02,5.32,FALSE,1.6e-06,"OR [95% CI] = 3.28 [2.02, 5.32], p = 1.6e-06"
Latinx,AD + MCI,"Favourable, e2+",-0.86,0.67,-1.29,0.19740137236207458,-2.17,0.45,0.42,0.11,1.57,FALSE,0.19740,"OR [95% CI] = 0.42 [0.11, 1.57], p = 0.19740"
Latinx,AD + MCI,"Favourable, e3/e3",-0.35,0.28,-1.28,0.20124156036809412,-0.9,0.19,0.7,0.41,1.21,FALSE,0.20124,"OR [95% CI] = 0.7 [0.41, 1.21], p = 0.20124"
Latinx,AD + MCI,"Favourable, e4+",0.21,0.35,0.61,0.5430597676498923,-0.47,0.89,1.24,0.62,2.44,FALSE,0.54306,"OR [95% CI] = 1.24 [0.62, 2.44], p = 0.54306"
Latinx,AD + MCI,"Intermediate, e2+",0.28,0.42,0.66,0.5073426384026495,-0.54,1.09,1.32,0.58,2.99,FALSE,0.50734,"OR [95% CI] = 1.32 [0.58, 2.99], p = 0.50734"
